               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13055,            0.069132,            0.061006,          0.00018013,           0.0038042,           9.178e-05,          1.2277e-05,             0.12802,            0.072632,            0.058864,              0.0982,              0.0002,              0.0002
                   1,             0.12747,             0.06902,            0.059642,          0.00026672,            0.016582,          0.00015658,          1.5658e-05,             0.12501,            0.060471,            0.053822,            0.095498,          0.00049835,          0.00049835
                   2,             0.12136,            0.072348,            0.057837,          0.00063589,            0.019692,          0.00034192,          9.1756e-05,             0.11933,            0.055618,            0.049326,            0.092795,          0.00079472,          0.00079472
                   3,             0.11134,            0.068328,            0.054472,           0.0058116,             0.11415,           0.0043486,          0.00085151,             0.10354,            0.058327,            0.046666,            0.090089,           0.0010891,           0.0010891
                   4,              0.1043,            0.079915,            0.051682,           0.0088973,             0.19804,            0.015964,           0.0032937,            0.094944,              0.0588,            0.044348,            0.087382,           0.0013815,           0.0013815
                   5,            0.097137,             0.08348,            0.049281,           0.0074528,              0.2048,            0.025582,           0.0063875,            0.086734,            0.059784,            0.042917,            0.084672,            0.001672,            0.001672
                   6,            0.091852,            0.089904,            0.046304,            0.010384,             0.28096,            0.025983,            0.006132,             0.08457,            0.059723,             0.04203,             0.08196,           0.0019604,           0.0019604
                   7,            0.088674,            0.078753,            0.044227,            0.028696,             0.51335,             0.05359,            0.011908,            0.080438,             0.06443,            0.041758,            0.079247,           0.0022469,           0.0022469
                   8,            0.087672,            0.078401,            0.041709,            0.033977,             0.54976,            0.052468,             0.01227,            0.079919,            0.067017,            0.042004,            0.076531,           0.0025314,           0.0025314
                   9,            0.085338,            0.079648,            0.041545,            0.040219,             0.43107,            0.050643,            0.011908,            0.078355,            0.062653,            0.041197,            0.073814,           0.0028139,           0.0028139
                  10,            0.084655,            0.073707,             0.04106,             0.36284,              0.3092,             0.10153,            0.026263,            0.080165,            0.052666,            0.039825,            0.071094,           0.0030944,           0.0030944
                  11,            0.081264,            0.062361,             0.03913,             0.37706,             0.30129,             0.16937,            0.040031,            0.076542,            0.044998,            0.038564,            0.068373,           0.0033729,           0.0033729
                  12,            0.079947,            0.063833,            0.038648,             0.18986,             0.39033,            0.063939,            0.016617,             0.07999,            0.045555,            0.037833,             0.06565,           0.0036495,           0.0036495
                  13,            0.080263,            0.060822,            0.036096,             0.19258,             0.51483,            0.067681,            0.017413,             0.07698,            0.045834,            0.037731,            0.062924,           0.0039241,           0.0039241
                  14,            0.079904,            0.064074,            0.036017,               0.674,             0.19545,             0.16284,            0.044837,             0.07215,             0.04538,            0.037197,            0.060197,           0.0041967,           0.0041967
                  15,            0.077466,            0.060401,            0.035146,             0.61964,             0.19859,            0.064198,            0.013936,             0.08378,            0.050556,             0.03614,            0.057467,           0.0044673,           0.0044673
                  16,            0.078255,            0.056953,              0.0362,              0.6356,             0.21188,            0.092042,            0.024282,            0.073598,            0.045631,            0.035793,            0.054736,            0.004736,            0.004736
                  17,            0.075385,            0.054292,            0.034579,             0.23001,             0.41661,              0.1327,            0.035708,            0.076936,            0.038315,            0.035809,            0.052003,           0.0050027,           0.0050027
                  18,            0.076084,             0.05946,            0.032992,             0.52122,             0.32355,            0.095633,            0.028807,            0.079018,            0.047077,            0.036076,            0.049267,           0.0052674,           0.0052674
                  19,            0.076709,            0.059256,            0.033836,             0.40071,             0.39591,             0.16487,            0.047308,            0.081568,            0.042847,            0.035125,             0.04653,           0.0055301,           0.0055301
                  20,            0.077441,            0.054075,            0.031673,             0.38991,             0.32192,             0.12547,             0.03745,            0.069005,            0.039783,            0.034655,            0.043791,           0.0057908,           0.0057908
                  21,            0.072243,            0.055086,             0.03356,              0.4428,             0.37105,             0.24176,            0.086845,            0.080081,            0.039047,            0.033817,             0.04105,           0.0060495,           0.0060495
                  22,            0.072557,            0.054984,            0.033776,             0.38923,             0.30622,              0.1732,            0.043549,            0.078778,            0.037575,            0.032348,            0.038306,           0.0063063,           0.0063063
                  23,            0.074824,            0.049457,            0.031925,             0.55183,             0.36294,              0.3408,             0.08584,            0.073168,            0.031708,            0.032391,            0.035561,           0.0065611,           0.0065611
                  24,            0.071742,            0.049203,            0.031493,             0.51379,             0.45792,             0.33041,             0.13972,            0.070932,             0.03266,              0.0316,            0.032814,           0.0068139,           0.0068139
                  25,            0.072545,            0.049976,            0.030144,              0.5073,             0.47012,             0.35457,             0.12091,            0.068806,            0.032093,            0.030618,            0.030065,           0.0070648,           0.0070648
                  26,            0.070279,            0.049136,            0.029708,             0.68169,             0.42927,             0.36642,             0.11602,            0.066145,            0.032051,            0.029581,            0.027314,           0.0073136,           0.0073136
                  27,            0.069934,            0.050042,             0.02838,             0.61334,             0.39031,             0.21098,            0.071944,            0.072723,            0.032518,             0.02948,             0.02456,           0.0075605,           0.0075605
                  28,             0.07092,            0.049352,            0.026726,             0.71828,             0.44108,             0.46071,             0.18199,            0.063632,            0.041599,            0.028978,            0.021805,           0.0078054,           0.0078054
                  29,            0.068728,            0.050617,            0.027624,             0.68641,             0.42769,             0.48629,             0.20869,            0.064061,             0.03418,             0.02791,            0.019048,           0.0080483,           0.0080483
                  30,            0.066081,            0.051907,            0.027508,             0.46433,             0.35919,             0.22671,            0.049964,             0.07169,            0.034348,            0.026836,            0.016289,           0.0082892,           0.0082892
                  31,            0.064385,            0.045848,            0.026988,              0.2383,             0.67561,             0.15097,            0.039869,            0.074386,            0.034748,            0.025704,            0.013528,           0.0085281,           0.0085281
                  32,            0.063874,            0.049423,            0.025727,              0.5152,              0.4228,             0.38553,             0.11219,            0.071559,            0.034121,            0.026292,            0.010765,           0.0087651,           0.0087651
                  33,            0.067262,            0.047436,            0.026188,             0.66459,             0.31547,             0.26166,            0.080564,            0.068808,            0.031227,            0.023461,            0.008911,            0.008911,            0.008911
                  34,            0.062887,            0.046834,            0.023639,             0.76303,              0.4402,             0.43775,             0.15201,            0.064766,            0.030807,            0.024054,            0.008911,            0.008911,            0.008911
                  35,            0.064703,            0.043241,            0.023245,             0.64814,             0.48098,             0.57352,             0.23498,            0.055494,            0.031944,            0.022233,            0.008878,            0.008878,            0.008878
                  36,             0.06064,            0.046151,            0.022554,              0.7603,             0.45286,             0.42736,             0.13387,            0.063336,            0.037472,            0.022113,            0.008845,            0.008845,            0.008845
                  37,            0.060835,            0.046122,            0.023869,             0.77798,             0.46891,             0.53692,             0.16865,            0.062475,            0.036367,            0.020583,            0.008812,            0.008812,            0.008812
                  38,            0.060551,            0.044886,            0.021717,             0.63274,             0.43451,             0.43535,             0.17541,            0.062918,            0.044056,            0.020043,            0.008779,            0.008779,            0.008779
                  39,              0.0572,            0.045852,            0.020327,             0.81206,             0.47155,             0.65204,             0.22557,            0.057629,            0.038151,             0.01995,            0.008746,            0.008746,            0.008746
                  40,            0.057053,            0.041671,            0.019262,             0.79605,             0.49452,             0.58964,             0.21101,            0.061344,            0.037064,            0.018019,            0.008713,            0.008713,            0.008713
                  41,            0.056686,            0.042946,             0.02056,             0.42792,             0.75567,             0.55833,             0.15293,            0.062895,             0.03606,              0.0178,             0.00868,             0.00868,             0.00868
                  42,            0.056965,            0.045057,            0.018613,             0.71175,              0.4254,             0.52913,             0.17671,            0.061479,            0.036299,            0.017712,            0.008647,            0.008647,            0.008647
                  43,            0.052856,            0.043142,             0.01941,             0.80408,             0.52564,             0.66339,             0.26642,            0.056869,            0.031986,            0.016804,            0.008614,            0.008614,            0.008614
                  44,            0.053251,            0.045263,            0.019755,               0.683,              0.5111,             0.62489,             0.30296,            0.055945,             0.03282,            0.019157,            0.008581,            0.008581,            0.008581
                  45,            0.055757,            0.045415,            0.017709,             0.49408,             0.60333,             0.60122,             0.19966,            0.059183,             0.03088,            0.017287,            0.008548,            0.008548,            0.008548
                  46,            0.051955,            0.041965,            0.017727,             0.54381,             0.64295,             0.60496,             0.27645,            0.052257,            0.034597,            0.018362,            0.008515,            0.008515,            0.008515
                  47,            0.049531,            0.043587,            0.017732,             0.59207,              0.6274,             0.64924,             0.25179,            0.052555,            0.033115,            0.015558,            0.008482,            0.008482,            0.008482
