               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.068097,            0.038349,            0.010992,             0.62376,             0.94969,             0.91621,             0.31208,            0.042028,            0.027921,           0.0054874,            0.008845,            0.008845,            0.008845
                  37,            0.060688,            0.037783,            0.013677,             0.56941,             0.89583,             0.67023,              0.1862,            0.043629,            0.028506,           0.0044761,            0.008812,            0.008812,            0.008812
                  38,            0.065642,            0.038097,            0.010985,             0.74334,             0.93015,             0.80852,             0.41923,              0.0447,            0.024703,           0.0041539,            0.008779,            0.008779,            0.008779
                  39,            0.059478,            0.037065,            0.012691,             0.82699,             0.84554,             0.90685,              0.3346,            0.043245,            0.029713,           0.0045004,            0.008746,            0.008746,            0.008746
                  40,             0.06733,            0.034014,            0.011514,             0.82926,             0.89583,             0.87961,             0.24892,            0.042132,            0.026997,           0.0046203,            0.008713,            0.008713,            0.008713
                  41,            0.061269,            0.031181,            0.012172,             0.67308,             0.90196,             0.77331,              0.2517,            0.052811,            0.025151,           0.0040183,             0.00868,             0.00868,             0.00868
                  42,             0.06537,            0.034825,            0.011354,             0.67952,             0.82659,             0.75726,             0.18907,            0.046487,            0.024713,           0.0042944,            0.008647,            0.008647,            0.008647
                  43,              0.0611,            0.037299,            0.010184,              0.6732,             0.84516,             0.73496,             0.28114,             0.03811,            0.021725,           0.0039053,            0.008614,            0.008614,            0.008614
                  44,            0.063712,            0.036567,           0.0085231,              0.7589,             0.94706,             0.90057,             0.35227,             0.04626,            0.021074,           0.0041436,            0.008581,            0.008581,            0.008581
                  45,            0.062163,            0.031062,             0.01116,              0.8422,              0.7877,             0.83824,             0.37241,            0.043082,            0.022135,           0.0043447,            0.008548,            0.008548,            0.008548
                  46,            0.060327,            0.036932,            0.011657,             0.76635,             0.86186,             0.89637,             0.35188,            0.036857,            0.021632,           0.0043121,            0.008515,            0.008515,            0.008515
                  47,            0.056608,            0.034991,            0.011606,             0.76661,             0.86689,             0.77897,             0.39279,            0.042044,            0.024194,           0.0040581,            0.008482,            0.008482,            0.008482
                  48,            0.057821,            0.031456,           0.0095475,             0.73734,             0.94614,             0.88552,             0.45281,            0.033849,            0.022032,           0.0036744,            0.008449,            0.008449,            0.008449
                  49,            0.058479,            0.038443,           0.0094219,             0.75404,             0.94037,             0.80748,             0.33708,            0.047729,            0.025857,           0.0037622,            0.008416,            0.008416,            0.008416
                  50,            0.062346,            0.037229,           0.0091457,             0.86644,              0.9586,             0.97689,             0.49856,            0.034678,            0.020896,           0.0034842,            0.008383,            0.008383,            0.008383
                  51,            0.055364,            0.037807,              0.0102,             0.76594,             0.90919,             0.73171,             0.25922,            0.040365,            0.023042,           0.0033508,             0.00835,             0.00835,             0.00835
                  52,            0.058786,            0.037603,           0.0099386,             0.70107,             0.98657,             0.89611,             0.56472,            0.037744,            0.022498,           0.0032144,            0.008317,            0.008317,            0.008317
                  53,            0.056767,            0.038943,            0.010742,             0.81989,             0.98678,             0.82706,             0.37929,            0.039426,            0.021605,           0.0030447,            0.008284,            0.008284,            0.008284
                  54,            0.052812,            0.034004,            0.010617,             0.82343,               0.996,             0.98072,             0.46507,            0.034966,            0.020728,            0.002702,            0.008251,            0.008251,            0.008251
                  55,            0.051056,            0.034343,           0.0097822,             0.98222,             0.97917,             0.99382,             0.42497,            0.035337,            0.024761,           0.0028994,            0.008218,            0.008218,            0.008218
                  56,            0.058202,             0.03649,           0.0091703,             0.95791,              0.9902,              0.9883,             0.48866,            0.038995,            0.022561,           0.0027672,            0.008185,            0.008185,            0.008185
                  57,            0.053509,             0.03568,           0.0091728,             0.98334,             0.99793,             0.99409,             0.45119,             0.03437,            0.020628,           0.0028021,            0.008152,            0.008152,            0.008152
                  58,            0.049721,            0.038056,           0.0086199,             0.98082,                   1,              0.9949,              0.4529,            0.031216,            0.020494,           0.0024136,            0.008119,            0.008119,            0.008119
                  59,            0.047075,            0.033779,           0.0084997,             0.70981,             0.94246,             0.93125,             0.48107,            0.034541,            0.021698,           0.0022877,            0.008086,            0.008086,            0.008086
                  60,            0.056449,            0.032636,            0.010755,             0.85671,             0.96875,             0.96575,             0.48063,            0.035834,            0.020991,            0.002142,            0.008053,            0.008053,            0.008053
                  61,            0.049374,            0.038758,            0.011494,             0.87265,             0.95588,             0.94183,             0.38402,            0.038423,            0.021243,            0.002076,             0.00802,             0.00802,             0.00802
                  62,            0.050915,            0.032432,           0.0090836,              0.7289,             0.99933,             0.92955,             0.45554,            0.029317,            0.020703,           0.0021223,            0.007987,            0.007987,            0.007987
                  63,            0.047478,            0.035004,           0.0074643,             0.53228,             0.98529,             0.62845,              0.2541,             0.04092,            0.021299,           0.0019312,            0.007954,            0.007954,            0.007954
                  64,            0.054662,            0.032019,             0.00835,             0.66557,                   1,             0.84367,             0.37197,            0.034047,            0.019807,           0.0020159,            0.007921,            0.007921,            0.007921
                  65,             0.05105,              0.0349,           0.0085801,             0.81471,                   1,              0.8598,             0.38238,            0.038978,            0.019822,           0.0018225,            0.007888,            0.007888,            0.007888
                  66,            0.046633,            0.031506,           0.0066494,             0.83088,                   1,             0.95748,             0.44375,            0.031431,            0.019254,           0.0018665,            0.007855,            0.007855,            0.007855
                  67,            0.044944,            0.030947,            0.007757,             0.67407,             0.99629,             0.85885,             0.44931,            0.034525,            0.021375,            0.001755,            0.007822,            0.007822,            0.007822
                  68,            0.053866,            0.029965,           0.0063672,             0.98495,             0.99909,               0.995,             0.47136,            0.034455,             0.01975,            0.001765,            0.007789,            0.007789,            0.007789
                  69,            0.053971,            0.031636,           0.0087309,               0.826,                   1,             0.97568,             0.48533,            0.032425,            0.018966,           0.0016906,            0.007756,            0.007756,            0.007756
                  70,            0.051158,            0.032421,           0.0077126,             0.97482,             0.99683,             0.99347,             0.42269,            0.036009,            0.019123,           0.0017017,            0.007723,            0.007723,            0.007723
                  71,            0.048181,            0.032223,            0.008871,             0.83423,                   1,             0.95431,             0.55447,            0.031568,             0.01972,           0.0018414,             0.00769,             0.00769,             0.00769
                  72,            0.050632,            0.032033,           0.0078059,             0.99678,                   1,               0.995,             0.43109,            0.032009,            0.019009,           0.0016877,            0.007657,            0.007657,            0.007657
                  73,            0.046711,            0.031932,           0.0069508,             0.86741,             0.99265,             0.94216,             0.40331,            0.036157,            0.020525,           0.0016122,            0.007624,            0.007624,            0.007624
                  74,            0.048268,            0.037632,           0.0064422,             0.95773,             0.97358,             0.99167,             0.61621,            0.029682,            0.021324,           0.0015681,            0.007591,            0.007591,            0.007591
                  75,            0.047107,            0.034475,           0.0088265,             0.98292,             0.98958,             0.97906,             0.48938,            0.031912,            0.023652,           0.0019798,            0.007558,            0.007558,            0.007558
                  76,            0.046352,            0.039607,           0.0073034,             0.99386,                   1,               0.995,             0.63263,            0.027452,            0.019257,           0.0016994,            0.007525,            0.007525,            0.007525
                  77,            0.047589,            0.032767,           0.0076915,             0.75882,             0.97672,              0.9308,             0.27425,            0.034959,            0.021172,            0.001692,            0.007492,            0.007492,            0.007492
                  78,            0.049661,            0.030588,           0.0077641,             0.83571,                   1,             0.97425,             0.65241,            0.030619,            0.018822,           0.0015627,            0.007459,            0.007459,            0.007459
                  79,            0.045545,            0.035715,           0.0096573,             0.94469,                   1,             0.98684,             0.40707,            0.037325,            0.019629,           0.0015138,            0.007426,            0.007426,            0.007426
                  80,            0.050285,            0.028562,           0.0077141,             0.83385,              0.9902,             0.94526,             0.61196,            0.032263,            0.018732,           0.0014737,            0.007393,            0.007393,            0.007393
                  81,            0.046336,            0.030881,           0.0061336,             0.98661,                   1,               0.995,             0.48942,            0.028247,            0.018764,           0.0013412,             0.00736,             0.00736,             0.00736
                  82,            0.043563,            0.026753,           0.0076571,             0.99648,                   1,               0.995,             0.64369,            0.029426,            0.017864,           0.0013561,            0.007327,            0.007327,            0.007327
                  83,            0.038031,            0.031374,           0.0060933,             0.98044,                   1,               0.995,             0.42249,            0.032201,            0.020686,            0.001385,            0.007294,            0.007294,            0.007294
                  84,            0.048401,            0.033079,           0.0060864,             0.99712,                   1,               0.995,             0.59063,            0.026105,            0.017509,           0.0014874,            0.007261,            0.007261,            0.007261
                  85,            0.045595,            0.029741,           0.0051985,               0.651,                   1,             0.87802,             0.33593,            0.037692,            0.019292,           0.0013438,            0.007228,            0.007228,            0.007228
                  86,            0.046401,            0.028207,           0.0074633,             0.93528,                   1,             0.97579,             0.62151,            0.029084,            0.017475,           0.0013498,            0.007195,            0.007195,            0.007195
                  87,             0.04111,            0.027572,           0.0055385,             0.90368,             0.99755,             0.97689,             0.49154,            0.031537,            0.019191,           0.0012837,            0.007162,            0.007162,            0.007162
                  88,            0.048168,            0.030077,           0.0075502,             0.95127,                   1,               0.995,             0.55079,            0.033024,            0.017992,           0.0012734,            0.007129,            0.007129,            0.007129
                  89,            0.044954,            0.031392,           0.0043684,             0.99363,                   1,               0.995,              0.5641,            0.026566,            0.019227,           0.0012651,            0.007096,            0.007096,            0.007096
                  90,            0.044004,            0.028386,           0.0062547,             0.99572,                   1,               0.995,             0.64328,            0.028049,            0.017758,           0.0013973,            0.007063,            0.007063,            0.007063
