               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1212,            0.057192,            0.044731,           0.0011412,            0.072917,          0.00073836,          0.00020897,            0.094483,            0.026289,            0.042023,                 0.1,                   0,                   0
                   1,             0.12024,            0.048306,            0.042753,          0.00010083,            0.010417,          8.3494e-05,          1.6699e-05,            0.095174,            0.025284,            0.040668,            0.099099,           9.901e-05,           9.901e-05
                   2,             0.11941,            0.050508,            0.041739,          0.00057279,             0.03125,          0.00034194,          3.4194e-05,            0.094419,            0.025354,             0.04054,            0.098196,          0.00019604,          0.00019604
                   3,             0.11967,            0.062837,            0.042691,          0.00010346,            0.010417,          5.9469e-05,          5.9469e-06,            0.093245,            0.025534,             0.03999,            0.097291,          0.00029109,          0.00029109
                   4,             0.11805,            0.056984,            0.042553,           0.0001033,            0.010417,           6.114e-05,           6.114e-06,            0.092072,             0.02562,            0.039029,            0.096384,          0.00038416,          0.00038416
                   5,             0.11667,            0.059542,            0.040782,                   0,                   0,                   0,                   0,            0.091105,            0.025788,            0.037875,            0.095475,          0.00047525,          0.00047525
                   6,             0.11364,            0.064312,            0.040509,                   0,                   0,                   0,                   0,            0.090239,            0.025933,            0.036136,            0.094564,          0.00056436,          0.00056436
                   7,             0.11125,            0.062657,            0.037329,          0.00017609,            0.002451,          8.9108e-05,          8.9108e-06,            0.088726,            0.026527,            0.034012,            0.093651,          0.00065149,          0.00065149
                   8,             0.10819,            0.072987,            0.037387,           0.0011743,            0.027574,          0.00062597,          8.4311e-05,            0.087214,            0.027238,            0.032153,            0.092737,          0.00073664,          0.00073664
                   9,             0.10626,            0.066517,            0.035386,           0.0033328,             0.06924,           0.0020223,          0.00038434,            0.082979,            0.029784,            0.029123,             0.09182,          0.00081981,          0.00081981
                  10,             0.10387,            0.057311,            0.035118,           0.0035801,            0.068627,           0.0022033,          0.00049161,            0.080727,            0.031727,            0.027145,            0.090901,            0.000901,            0.000901
                  11,              0.1018,            0.075272,            0.034756,           0.0073014,            0.094975,           0.0051987,          0.00074514,            0.079822,            0.033222,            0.025882,             0.08998,          0.00098021,          0.00098021
