               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.067419,            0.036743,             0.01052,             0.80724,             0.81678,             0.90943,             0.26993,            0.038341,            0.020774,           0.0057564,            0.006535,            0.006535,            0.006535
                  37,            0.060866,            0.035242,            0.013234,             0.35359,             0.44056,             0.30522,            0.072117,            0.048547,            0.021406,           0.0055927,            0.006436,            0.006436,            0.006436
                  38,            0.063117,             0.03725,            0.011758,             0.70098,             0.79724,             0.85566,             0.23843,             0.03984,            0.022305,           0.0054997,            0.006337,            0.006337,            0.006337
                  39,            0.053925,            0.036594,            0.013149,             0.28689,             0.92708,             0.37177,              0.1317,            0.053112,            0.026539,           0.0053367,            0.006238,            0.006238,            0.006238
                  40,            0.070262,            0.034366,            0.011745,             0.91705,             0.90936,             0.97538,             0.50239,            0.030183,            0.020499,           0.0053358,            0.006139,            0.006139,            0.006139
                  41,            0.057966,              0.0304,            0.012523,             0.48304,             0.69413,             0.51786,              0.2072,            0.041669,            0.022263,           0.0051616,             0.00604,             0.00604,             0.00604
                  42,            0.063591,             0.03437,            0.012259,             0.83506,             0.87592,             0.95744,             0.40312,            0.034861,            0.020762,           0.0050088,            0.005941,            0.005941,            0.005941
                  43,            0.060111,            0.038064,            0.010646,             0.94075,             0.86458,             0.94045,             0.43063,            0.034777,            0.021056,           0.0046718,            0.005842,            0.005842,            0.005842
                  44,            0.057861,            0.035791,           0.0087131,             0.73083,               0.875,             0.77414,             0.35769,            0.041036,            0.022394,            0.004743,            0.005743,            0.005743,            0.005743
                  45,            0.059382,            0.031515,             0.01108,             0.80705,             0.86707,             0.88606,             0.35725,            0.039361,            0.021906,           0.0047287,            0.005644,            0.005644,            0.005644
                  46,            0.056072,            0.037199,            0.011965,             0.79576,             0.91333,             0.91248,             0.46036,            0.037133,            0.020809,           0.0048208,            0.005545,            0.005545,            0.005545
                  47,             0.05289,            0.035535,            0.012135,             0.78811,              0.7656,             0.81924,             0.41212,            0.045463,            0.023388,           0.0049258,            0.005446,            0.005446,            0.005446
                  48,            0.057229,            0.031322,           0.0093265,             0.96157,             0.89582,             0.96567,             0.53983,            0.030997,            0.020903,           0.0047862,            0.005347,            0.005347,            0.005347
                  49,            0.055681,            0.037316,           0.0096686,             0.78972,             0.82216,             0.85533,             0.40332,            0.043324,            0.021492,           0.0047828,            0.005248,            0.005248,            0.005248
                  50,            0.055632,            0.036894,            0.008963,             0.97958,             0.91667,             0.98655,             0.62281,            0.031275,            0.020105,           0.0047258,            0.005149,            0.005149,            0.005149
                  51,            0.049572,            0.037768,            0.010558,             0.87722,              0.9499,             0.98976,             0.38896,            0.031609,            0.021851,           0.0045625,             0.00505,             0.00505,             0.00505
                  52,            0.054407,            0.037225,            0.010328,             0.79485,             0.92217,             0.92751,             0.44015,            0.032429,            0.020971,           0.0043714,            0.004951,            0.004951,            0.004951
                  53,            0.050726,            0.039342,            0.011043,             0.82978,             0.96256,             0.85038,             0.45144,             0.03612,             0.02153,           0.0042226,            0.004852,            0.004852,            0.004852
                  54,            0.049658,            0.034719,            0.010945,             0.91906,             0.96776,             0.97413,             0.54079,            0.031132,            0.020967,           0.0040143,            0.004753,            0.004753,            0.004753
                  55,            0.046455,             0.03507,            0.010344,             0.81728,             0.98958,             0.94675,             0.47829,             0.03835,              0.0226,           0.0039737,            0.004654,            0.004654,            0.004654
                  56,            0.053306,             0.03592,           0.0097345,             0.87185,                   1,             0.99295,             0.53726,            0.030916,            0.020998,           0.0039577,            0.004555,            0.004555,            0.004555
                  57,            0.047435,            0.035948,           0.0092198,             0.70671,             0.87334,             0.79154,             0.47412,            0.040599,            0.022421,           0.0037688,            0.004456,            0.004456,            0.004456
                  58,            0.051166,            0.038833,           0.0086263,             0.90532,             0.87871,             0.96463,             0.50713,            0.031767,            0.020134,           0.0036721,            0.004357,            0.004357,            0.004357
                  59,            0.046404,            0.034756,           0.0085975,              0.9838,                   1,             0.99412,             0.59415,            0.032928,            0.020263,           0.0035843,            0.004258,            0.004258,            0.004258
                  60,            0.051573,            0.031827,            0.010728,             0.95448,                   1,               0.995,             0.50576,             0.03133,            0.019621,           0.0035185,            0.004159,            0.004159,            0.004159
                  61,            0.046638,            0.037519,            0.012197,              0.9742,             0.97917,             0.99328,             0.60792,            0.028091,            0.019321,           0.0034719,             0.00406,             0.00406,             0.00406
                  62,            0.046881,            0.032506,           0.0091717,             0.99113,                   1,               0.995,             0.54226,            0.031404,            0.019563,           0.0033803,            0.003961,            0.003961,            0.003961
                  63,            0.042617,            0.035343,           0.0079796,             0.95964,                   1,             0.99379,             0.48428,            0.035789,            0.020695,           0.0032361,            0.003862,            0.003862,            0.003862
                  64,            0.049941,            0.032231,           0.0084687,             0.99064,                   1,               0.995,             0.64878,             0.02559,            0.018453,           0.0031623,            0.003763,            0.003763,            0.003763
                  65,            0.046438,            0.033727,           0.0089538,             0.84286,                   1,             0.99067,             0.57205,            0.031734,            0.018821,           0.0030813,            0.003664,            0.003664,            0.003664
                  66,            0.044054,            0.030763,           0.0069713,             0.96467,                   1,             0.98833,             0.62273,            0.028873,            0.018265,           0.0030335,            0.003565,            0.003565,            0.003565
